departamento,fecha,ndvi_medio
Guaviare,2022-08-13,0.7490257212005085
Huila,2022-08-13,0.7354496872824321
Magdalena,2022-08-13,0.7226861451836945
Meta,2022-08-13,0.6934037723350301
Narino,2022-08-13,0.6659712393724191
Norte De Santander,2022-08-13,0.7549854328541694
Putumayo,2022-08-13,0.771554614943666
Quindio,2022-08-13,0.6515066935312818
Risaralda,2022-08-13,0.6518815718507606
Santander,2022-08-13,0.744661688297705
Sucre,2022-08-13,0.6610056609501374
Tolima,2022-08-13,0.736642452664176
Valle Del Cauca,2022-08-13,0.6383943165178378
Vaupes,2022-08-13,0.7336004086150972
Vichada,2022-08-13,0.6056468029550443
Amazonas,2022-08-29,0.5332676624642134
Antioquia,2022-08-29,0.7379585817581493
Arauca,2022-08-29,0.6749424074129269
Atlantico,2022-08-29,0.6954291371193392
Bolivar,2022-08-29,0.6965894968316652
Boyaca,2022-08-29,0.5832812158679717
Caldas,2022-08-29,0.7257837367977703
Caqueta,2022-08-29,0.7377158109668182
Casanare,2022-08-29,0.6177674730348894
Cauca,2022-08-29,0.7145851616349882
Cesar,2022-08-29,0.7443309980534815
Choco,2022-08-29,0.6428446948419883
Cordoba,2022-08-29,0.7659376255902943
Cundinamarca,2022-08-29,0.5931617959645435
Guainia,2022-08-29,0.5887852544560555
Guajira,2022-08-29,0.5654839971472234
Guaviare,2022-08-29,0.7440249037115164
Huila,2022-08-29,0.6995459545482828
Magdalena,2022-08-29,0.7279471146692412
Meta,2022-08-29,0.6523028430243455
Narino,2022-08-29,0.6389307535799877
Norte De Santander,2022-08-29,0.6950877943388288
Putumayo,2022-08-29,0.7623740979958923
Quindio,2022-08-29,0.6591693344501378
Risaralda,2022-08-29,0.7175997395198528
Santander,2022-08-29,0.7401272084892672
Sucre,2022-08-29,0.6734170595125581
Tolima,2022-08-29,0.6690387268533248
Valle Del Cauca,2022-08-29,0.6586860523811028
Vaupes,2022-08-29,0.7226744607411902
Vichada,2022-08-29,0.576520803960485
Amazonas,2022-09-14,0.5067766150498914
Antioquia,2022-09-14,0.6706333603202727
Arauca,2022-09-14,0.6431152564340256
Atlantico,2022-09-14,0.6814654033654532
Bolivar,2022-09-14,0.6299788220705488
Boyaca,2022-09-14,0.6375959875374284
Caldas,2022-09-14,0.6600554659570984
Caqueta,2022-09-14,0.7416614259017051
Casanare,2022-09-14,0.6143506680312479
Cauca,2022-09-14,0.6453402493880104
Cesar,2022-09-14,0.7266200744294239
Choco,2022-09-14,0.5919458299388145
Cordoba,2022-09-14,0.6969076239210086
